,Instance,n_N,n_B,k,wL,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,21.0,10.0,1.0,50.0,1.5833720688341848e-05,21.462536334991455,837.0,891.598970930298,,
1,0.0,21.0,10.0,1.0,50.0,1.5833720688341848e-05,21.126580715179443,837.0,891.598970930298,,
2,0.0,21.0,10.0,2.0,50.0,0.0,37.57616901397705,1409.0,781.5307855175545,,
3,0.0,35.0,20.0,1.0,50.0,0.0,106.89655494689941,8501.0,2355.5245699733523,,
4,0.0,35.0,20.0,2.0,50.0,9.659700417156474e-09,233.24482035636902,3340.0,1766.8613988377883,,
5,0.0,35.0,20.0,5.0,50.0,3.0067682035417674e-07,193.49980092048645,10335.0,1369.049559366667,,
6,0.0,52.0,30.0,1.0,50.0,5.911325948552785e-05,299.66002893447876,6654.0,3544.9497363108094,,
7,0.0,52.0,30.0,3.0,50.0,4.0226883618833394e-05,723.1267256736755,23846.0,2501.927132168314,,
8,0.0,52.0,30.0,7.0,50.0,3.9111946141081524e-07,1379.2768063545227,42516.0,2072.204305621611,,
9,0.0,83.0,50.0,1.0,50.0,8.354649949414426e-05,1384.8261632919312,18930.0,6075.902854314444,,
10,0.0,83.0,50.0,5.0,50.0,0.16307508538543672,3903.2434408664703,52560.0,3952.4715580440957,,
11,0.0,83.0,50.0,12.0,50.0,0.02616451526380653,3906.783976316452,52860.0,3148.1317101766126,,
12,0.0,127.0,80.0,1.0,50.0,0.006229000770668959,4427.997020721436,173394.0,11873.097440576905,,
