,Instance,n_N,n_B,k,Endurance,wE,wL,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,10.0,21.0,1.0,100.0,1.0,50.0,2.7118676285076063e-05,142.48978424072266,1.0,943.5838188467748,,
1,0.0,10.0,21.0,1.0,200.0,1.0,50.0,0.0,70.9022376537323,1.0,943.5836018912274,,
2,0.0,10.0,21.0,1.0,500.0,1.0,50.0,0.0,62.10094618797302,1.0,943.5836034658853,,
3,0.0,10.0,21.0,1.0,100.0,1.0,50.0,2.7118676285076063e-05,136.45823454856873,1.0,943.5838188467748,,
4,0.0,10.0,21.0,1.0,200.0,1.0,50.0,0.0,72.55744409561157,1.0,943.5836018912274,,
5,0.0,10.0,21.0,1.0,500.0,1.0,50.0,0.0,62.12334942817688,1.0,943.5836034658853,,
6,0.0,10.0,21.0,2.0,100.0,1.0,50.0,9.471454228237494e-05,58.40058398246765,55.0,802.9487736760193,,
7,0.0,10.0,21.0,2.0,200.0,1.0,50.0,5.8020692161110384e-06,47.10461926460266,58.0,802.9498297740571,,
8,0.0,10.0,21.0,2.0,500.0,1.0,50.0,9.331485079888049e-05,51.03933548927307,286.0,802.9761761162815,,
9,0.0,20.0,35.0,1.0,100.0,1.0,50.0,,,,,,
10,0.0,20.0,35.0,1.0,200.0,1.0,50.0,,,,,,
11,0.0,20.0,35.0,1.0,500.0,1.0,50.0,,,,,,
12,0.0,20.0,35.0,2.0,100.0,1.0,50.0,6.285115244187591e-05,2907.3964190483093,860.0,1969.1089520866378,,
13,0.0,20.0,35.0,2.0,200.0,1.0,50.0,0.029153874926490374,7731.815757989883,822.0,1952.258971985173,,
